Tick PD1 PD2 PD3
1486 001 000 195
1487 001 000 195
1488 001 000 195
1489 002 000 195
1490 005 000 195
1491 010 000 195
1492 018 000 195
1493 028 000 195
1494 042 000 195
1495 059 000 195
1496 080 000 195
1497 102 000 195
1498 123 000 195
1499 143 000 195
1500 161 000 195
1501 177 000 195
1502 190 000 195
1503 196 000 195
1504 196 000 195
1505 196 000 195
1506 196 000 195
1507 196 000 195
1508 196 000 195
1509 196 000 195
1510 196 000 195
1511 187 000 195
1512 178 000 195
1513 170 000 195
1514 161 000 195
1515 154 000 195
1516 147 000 195
1517 140 000 195
1518 135 000 195
1519 131 000 195
1520 127 000 195
1521 124 000 195
1522 121 000 195
1523 120 000 195
1524 119 000 195
1525 118 000 195
1526 118 000 195
1527 117 000 195
1528 117 000 195
1529 117 000 195
1530 117 000 195
1531 119 000 195
1532 122 000 195
1533 128 000 195
1534 136 000 195
1535 148 000 195
1536 163 000 195
1537 179 000 195
1538 195 000 195
1539 196 000 195
1540 196 000 195
1541 196 000 195
1542 196 000 195
1543 196 000 195
1544 196 000 195
1545 196 000 195
1546 196 000 195
1547 196 000 195
1548 196 000 195
1549 188 000 195
1550 175 000 195
1551 162 000 190
1552 150 000 183
1553 140 000 176
1554 132 000 168
1555 125 000 159
1556 120 000 150
1557 116 000 141
1558 114 000 131
1559 112 000 121
1560 111 000 112
1561 110 000 102
1562 110 000 091
1563 110 000 080
1564 110 000 069
1565 110 000 058
1566 110 000 049
1567 111 000 041
1568 113 000 033
1569 117 000 026
1570 121 000 021
1571 128 000 015
1572 136 000 011
1573 147 000 008
1574 159 000 005
1575 172 000 003
1576 184 000 001
1577 195 000 000
1578 195 000 000
1579 195 000 000
1580 195 000 000
1581 195 000 000
1582 195 000 000
1583 195 000 000
1584 195 000 000
1585 195 000 000
1586 195 000 000
1587 195 000 000
1588 185 000 000
1589 170 000 000
1590 155 000 000
1591 141 000 000
1592 130 000 000
1593 122 000 000
1594 116 000 000
